exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
2,inf_non,inf,non,45,кроссворд,Y,Y2,кроссворд,1,7847
2,inf_non,inf,non,54,кактус,Y,Y2,ну блин пусть будет плющ какой-нибудь,0,
2,inf_non,inf,non,55,стадион,Y,Y2,стадион,1,1127
2,inf_non,inf,non,61,кобура,Y,Y2,кобура,1,2256
2,inf_non,inf,non,71,мельница,Y,Y2,мельница,1,1999
2,inf_non,inf,non,74,палитра,Y,Y2,палитра,1,7097
2,inf_let,inf,let,8,невеста,Y,Y2,невеста,1,1205
2,inf_let,inf,let,35,шприц,Y,Y2,шприц,1,1017
2,inf_let,inf,let,6,аквариум,Y,Y2,аквариум,1,949
2,inf_let,inf,let,24,кастрюля,Y,Y2,кастрюля,1,1742
2,inf_let,inf,let,14,иероглиф,Y,Y2,иероглиф,1,1201
2,inf_let,inf,let,19,точилка,Y,Y2,точилка,1,1205
2,inf_let,inf,let,31,черепаха,Y,Y2,черепаха,1,1178
2,inf_let,inf,let,40,бинокль,Y,Y2,бинокль,1,803
2,inf_let,inf,let,58,кепка,Y,Y2,кепка,1,1422
2,inf_let,inf,let,62,прищепка,Y,Y2,прищепка,1,11595
2,inf_let,inf,let,63,трамвай,Y,Y2,трамвай,1,5481
2,inf_let,inf,let,70,микрофон,Y,Y2,микрофон,1,1286
2,inf_let,inf,let,73,камин,Y,Y2,камин,1,1673
2,inf_col,inf,col,1,компас,Y,Y2,компас,1,1392
2,inf_col,inf,col,25,сейф,Y,Y2,сейф,1,1852
2,inf_col,inf,col,2,карета,Y,Y2,карета,1,1119
2,inf_col,inf,col,37,шашлык,Y,Y2,шашлык,1,1572
2,inf_col,inf,col,33,копилка,Y,Y2,копилка,1,2937
2,inf_col,inf,col,38,радуга,Y,Y2,радуга,1,1023
2,inf_col,inf,col,12,шланг,Y,Y2,шланг,1,1507
2,inf_col,inf,col,48,сачок,Y,Y2,сачок,1,1312
2,inf_col,inf,col,52,перо,Y,Y2,перо,1,1420
2,inf_col,inf,col,60,фотоаппарат,Y,Y2,фотоаппарат,1,1323
2,inf_col,inf,col,65,корсет,Y,Y2,корсет,1,1278
2,inf_col,inf,col,67,пружина,Y,Y2,пружина,1,5113
2,inf_col,inf,col,77,дуршлаг,Y,Y2,дуршлаг,1,9561
3,ref_non,ref,non,10,коридор,Y,Y3,коридор ... палуба,1,1621
3,ref_non,ref,non,3,глобус,Y,Y3,глобус,1,829
3,ref_non,ref,non,11,подбородок,Y,Y3,подбородок,1,883
3,ref_non,ref,non,21,трон,Y,Y3,кресло ... трон,2,2007
3,ref_non,ref,non,26,форточка,Y,Y3,"окно... форточка, форточка",1,
3,ref_non,ref,non,27,намордник,Y,Y3,намордник,1,1103
3,ref_non,ref,non,42,салфетка,Y,Y3,салфетка,1,1557
3,ref_non,ref,non,43,водопад,Y,Y3,водопад,1,1221
3,ref_non,ref,non,51,иллюминатор,Y,Y3,"окно... не знаю, что это",2,4144
3,ref_non,ref,non,53,наручники,Y,Y3,наручники,1,1080
3,ref_non,ref,non,66,кенгуру,Y,Y3,кенгуру,1,749
3,ref_non,ref,non,68,удочка,Y,Y3,удочка,1,906
3,ref_non,ref,non,76,антенна,Y,Y3,антенна,1,873
3,ref_let,ref,let,13,перекресток,Y,Y3,перекресток,1,997
3,ref_let,ref,let,9,шлагбаум,Y,Y3,шлагбаум,1,2309
3,ref_let,ref,let,15,венок,Y,Y3,венок,1,1316
3,ref_let,ref,let,23,маяк,Y,Y3,маяк,1,875
3,ref_let,ref,let,28,термос,Y,Y3,термос,1,1040
3,ref_let,ref,let,32,якорь,Y,Y3,якорь,1,901
3,ref_let,ref,let,34,шишка,Y,Y3,шишка,1,845
3,ref_let,ref,let,47,фартук,Y,Y3,фартук,1,829
3,ref_let,ref,let,49,троллейбус,Y,Y3,троллейбус,1,818
